28,3200,4.5,2,3.0,7,8,6,1,3,8,Online
45,6800,1.2,8,0.5,4,3,2,0,5,5,Store
22,1500,7.8,1,6.5,9,15,8,3,2,9,Online
55,9500,0.8,12,0.3,3,2,1,0,6,4,Store
31,4200,5.5,4,4.2,8,10,7,2,3,8,Hybrid
19,900,9.2,1,8.0,10,20,9,4,1,10,Online
48,7800,1.0,10,0.4,3,2,2,0,5,3,Store
26,2800,6.8,2,5.5,8,12,7,2,2,9,Online
52,8900,0.6,14,0.2,2,1,1,0,6,3,Store
34,5100,3.8,5,3.0,7,7,5,1,4,7,Hybrid
21,1200,8.5,1,7.2,9,18,8,3,1,10,Online
60,11000,0.4,18,0.1,2,1,1,0,7,2,Store
29,3800,4.8,3,3.8,7,9,6,2,3,8,Hybrid
41,6200,2.1,7,1.5,5,4,4,1,4,6,Hybrid
23,1800,7.5,2,6.0,9,14,8,3,2,9,Online
57,9800,0.7,15,0.2,3,2,1,0,6,4,Store
33,4800,4.2,4,3.5,7,8,6,1,3,7,Hybrid
18,800,9.5,1,8.5,10,22,9,4,1,10,Online
50,8200,0.9,11,0.3,3,2,2,0,5,3,Store
27,3100,5.8,3,4.8,8,11,7,2,2,9,Online
44,7000,1.8,8,1.0,5,3,3,1,4,6,Hybrid
63,12000,0.3,20,0.1,2,1,1,0,7,2,Store
30,4000,4.5,4,3.2,7,8,6,1,3,7,Hybrid
20,1100,8.8,1,7.8,10,19,9,3,1,10,Online
53,9200,0.6,13,0.2,3,2,1,0,6,3,Store
36,5500,3.5,5,2.8,6,7,5,1,4,7,Hybrid
25,2500,6.5,2,5.2,8,13,7,2,2,9,Online
47,7500,1.2,9,0.5,4,3,3,0,5,5,Store
32,4500,4.0,4,3.3,7,8,6,1,3,7,Hybrid
24,2000,7.2,2,5.8,9,15,8,3,2,9,Online
